,index,user_id,상품명,item_option,user_rank,star,write_date,발색력,지속력,발림성,수분감,올리브영 후기 유무,광고 유무,user_type1,user_type3,user_type4,탑리뷰어,user_type2,user_type5,item_no,user_no,rating,브랜드,가격,평균별점,발색력점수,지속력점수,발림성점수,수분감점수
66,66,YoungLifee,[NEW] 무지개맨션 오브제 리퀴드,,,5.0,2022-09-01,3.0,2.0,3.0,2.0,,1,,,,0,,,12,119,10.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
67,67,nuuur1,[NEW] 무지개맨션 오브제 리퀴드,,,5.0,2022-08-30,3.0,3.0,3.0,3.0,,1,,,,0,,,12,377,12.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
68,68,춘시기,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 014 텐션,,5.0,2022-10-14,3.0,2.0,3.0,2.0,,0,,,,0,,,12,1610,10.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
69,69,glossygoddess,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 009 퍼셉션,TOP 728,5.0,2022-10-11,2.0,2.0,2.0,2.0,,0,건성,민감성,블랙헤드,0,웜톤,,12,229,8.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
70,70,플랑플랑,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 010 언던,,5.0,2022-10-05,3.0,3.0,3.0,2.0,,0,,,,0,,,12,1722,11.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
71,71,집나간사자,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 002시퀀스,TOP 395,5.0,2022-10-03,3.0,3.0,3.0,2.0,,0,복합성,트러블,,0,웜톤,,12,1555,11.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
72,72,솔잎sb,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 002시퀀스,,5.0,2022-10-03,3.0,3.0,3.0,1.0,,0,,,,0,,,12,1134,10.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
73,73,체리브영,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 010 언던,TOP 246,4.0,2022-10-02,3.0,3.0,3.0,1.0,,0,건성,다크서클,잡티,0,웜톤,,12,1599,10.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
74,74,썽2쓰,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 010 언던,,5.0,2022-10-01,3.0,3.0,3.0,2.0,,0,,,,0,,,12,1183,11.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
75,75,ㅇㅇㅁㅇㅇ,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 001 베얼리,TOP 268,5.0,2022-10-01,3.0,3.0,3.0,1.0,,0,약건성,각질,다크서클,0,웜톤,,12,529,10.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
