,user_no,상품명,star
151,1752,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
152,1777,[NEW] 롬앤 쥬시 래스팅 틴트,4.0
153,1531,[NEW] 롬앤 쥬시 래스팅 틴트,3.0
154,1544,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
155,233,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
156,1350,[NEW] 롬앤 쥬시 래스팅 틴트,4.0
157,408,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
158,1823,[NEW] 롬앤 쥬시 래스팅 틴트,3.0
159,57,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
160,1728,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
161,1652,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
162,957,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
163,1812,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
164,1378,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
165,1157,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
166,1522,[NEW] 롬앤 쥬시 래스팅 틴트,3.0
167,865,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
168,1090,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
169,838,[NEW] 롬앤 쥬시 래스팅 틴트,4.0
170,1710,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
171,825,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
172,780,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
173,1403,[NEW] 롬앤 쥬시 래스팅 틴트,4.0
174,370,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
175,1027,[NEW] 롬앤 쥬시 래스팅 틴트,4.0
176,43,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
177,786,[NEW] 롬앤 쥬시 래스팅 틴트,4.0
178,1492,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
179,185,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
180,943,[NEW] 롬앤 듀이풀 워터 틴트,5.0
181,1392,[NEW] 롬앤 듀이풀 워터 틴트,5.0
182,221,[NEW] 롬앤 듀이풀 워터 틴트,5.0
183,1748,[NEW] 롬앤 듀이풀 워터 틴트,5.0
184,1392,[NEW] 롬앤 듀이풀 워터 틴트,5.0
185,1552,[NEW] 롬앤 듀이풀 워터 틴트,4.0
